Participant,Condition,50-250ms_ch3,50-250ms_ch4,50-250ms_ch12,50-250ms_ch13,50-250ms_mean_over_channels,250-400ms_ch3,250-400ms_ch4,250-400ms_ch12,250-400ms_ch13,250-400ms_mean_over_channels
WS007,high_trial_1,1.4853501,1.570592,0.8733557,1.4916097,1.3552269,1.699453,2.3055084,1.3431541,2.0743308,1.8556116
WS007,high_trial_2,1.2794869,0.7406223,1.7303714,1.0905765,1.2102643,1.4930972,2.9652164,2.6472855,1.2080393,2.0784097
WS008,low_trial_1,3.0705519,5.6040406,1.3984965,3.0554311,3.2821302,0.045439996,0.30201575,-0.23039925,0.3315321,0.112147145
WS008,low_trial_2,2.4869912,1.981222,1.5318614,3.1398873,2.2849903,-3.414615,-4.827681,-5.275752,-3.362085,-4.220033
WS008,med_trial_1,-3.2065916,-2.9129422,-1.491235,-3.7226624,-2.8333578,-1.8529834,0.083182395,-0.26817146,-2.0137763,-1.0129372
WS008,med_trial_2,-2.431916,-1.4751979,-2.0637686,-2.2687774,-2.059915,-3.6143758,-2.1453378,-2.0257075,-3.532594,-2.8295038
WS008,high_trial_1,1.6299598,1.2901376,0.7618738,0.9673137,1.1623212,-2.2322733,-0.06657824,-1.4365683,-1.4419589,-1.2943447
WS008,high_trial_2,2.3033826,3.2062554,0.2875915,2.9724073,2.192409,-0.38297287,0.69734204,0.5195258,0.4718487,0.32643592
WS009,low_trial_1,-0.028210206,0.6831073,-0.35019127,0.9056677,0.30259338,0.51884353,-0.086465046,-0.021113848,0.20947826,0.15518573
WS009,low_trial_2,-2.5070302,-3.2326596,-3.2673078,-2.0957098,-2.775677,2.2805755,2.8910553,2.1540544,2.1711571,2.3742106
WS009,med_trial_1,0.10372745,0.23567757,-0.03221527,0.23398718,0.13529423,2.4203038,4.1177955,3.232031,2.7289846,3.1247787
WS009,med_trial_2,-1.9780922,-1.9038776,-2.6448646,-0.67697406,-1.8009522,0.43427444,0.49434432,0.6653566,0.20009868,0.44851848
WS009,high_trial_1,-3.2637165,-2.9282694,-2.9931433,-2.2470772,-2.8580515,3.8428557,4.730663,3.1977088,4.2467923,4.004505
WS009,high_trial_2,-0.75436854,0.12658451,0.47542176,-0.68425715,-0.20915484,0.48979273,-0.10979793,1.1085262,-0.2626801,0.30646026
WS010,low_trial_1,-0.7016958,-0.76587313,-0.5682891,-0.7410115,-0.6942173,2.071585,2.4059505,2.0495217,2.1998441,2.1817253
WS010,low_trial_2,0.7192434,0.64811623,0.2980023,0.8357272,0.6252723,-0.97047186,-1.1740147,-0.94700724,-1.1376333,-1.0572817
WS010,med_trial_1,0.34948733,0.13680495,0.16196625,0.2257095,0.21849202,-0.79215354,-0.28217697,-0.41740683,-0.44715476,-0.48472303
WS010,med_trial_2,0.45458612,0.36548865,0.26111114,0.56887376,0.41251493,-0.4243916,-0.40998775,-0.001253203,-0.86491466,-0.4251368
WS010,high_trial_1,-0.27832907,-0.599933,-1.0447944,-0.055403214,-0.49461496,1.0292763,1.1468335,1.3948718,0.57260966,1.0358977
WS010,high_trial_2,0.048769053,0.5108715,0.20020184,0.43801835,0.29946518,0.031532828,-0.67960644,-0.84013283,-0.14739075,-0.40889928
WS011,low_trial_1,0.36420646,0.3442932,0.43867424,0.17159344,0.32969183,-0.26015562,-0.055579193,0.21048862,-0.32585615,-0.107775584
WS011,low_trial_2,5.30168,4.454899,5.1266265,3.861458,4.686166,2.253047,0.86907095,0.47073042,1.4282147,1.2552657
WS011,med_trial_1,0.75660163,0.5314325,0.5839541,0.2209637,0.523238,-0.054605722,-0.19477598,0.010929741,0.069609314,-0.04221066
WS011,med_trial_2,-0.12639144,0.43570235,-0.14498588,0.21252859,0.094213404,0.88414454,1.1362455,1.5983444,0.24257223,0.96532667
WS011,high_trial_1,-1.3885384,-0.89880717,-1.0882573,-1.0841322,-1.1149337,0.3912844,0.51422125,-0.098715544,1.0389858,0.461444
WS011,high_trial_2,-1.2123572,-0.76678747,-0.5129193,-1.0651318,-0.8892989,0.476627,-0.033602796,-0.18401484,0.2391272,0.124534145
