"Participant","Condition","50-250ms_mean_over_channels","250-400ms_mean_over_channels","Time_Window","Channel","HEP_mean_value","Subject"
"WS002","med_trial_1",0.75445825,-2.0717754,"50-250ms","ch4",0.6587546,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"50-250ms","ch12",0.30917844,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"50-250ms","ch13",0.7070996,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"250-400ms","ch3",-2.281886,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"250-400ms","ch4",-2.6663377,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"250-400ms","ch12",-1.3239225,"WS002"
"WS002","med_trial_1",0.75445825,-2.0717754,"250-400ms","ch13",-2.0149553,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"50-250ms","ch3",-3.1420557,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"50-250ms","ch4",-2.4155016,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"50-250ms","ch12",-0.34919068,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"50-250ms","ch13",-3.86819,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"250-400ms","ch3",-0.8106334,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"250-400ms","ch4",-0.831786,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"250-400ms","ch12",-0.812187,"WS002"
"WS002","med_trial_2",-2.4437344,-0.76816773,"250-400ms","ch13",-0.6180647,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"50-250ms","ch3",1.3200965,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"50-250ms","ch4",1.4319274,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"50-250ms","ch12",-1.3093106,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"50-250ms","ch13",3.2196536,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"250-400ms","ch3",1.0921686,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"250-400ms","ch4",0.41590452,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"250-400ms","ch12",-0.60672575,"WS002"
"WS002","high_trial_1",1.1655917,0.43091458,"250-400ms","ch13",0.8223109,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"50-250ms","ch3",-0.8751781,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"50-250ms","ch4",-0.23753929,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"50-250ms","ch12",-0.99313617,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"50-250ms","ch13",-1.8551837,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"250-400ms","ch3",0.036558855,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"250-400ms","ch4",2.4617002,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"250-400ms","ch12",-1.2523904,"WS002"
"WS002","high_trial_2",-0.9902593,1.0670769,"250-400ms","ch13",3.0224388,"WS002"
"WS003","low_trial_1",0.3183358,-0.640814,"50-250ms","ch3",0.49146637,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"50-250ms","ch4",0.1080603,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"50-250ms","ch12",0.3200705,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"50-250ms","ch13",0.35374603,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"250-400ms","ch3",-1.0355145,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"250-400ms","ch4",-0.0711962,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"250-400ms","ch12",-0.6897221,"WS003"
"WS003","low_trial_1",0.3183358,-0.640814,"250-400ms","ch13",-0.7668233,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"50-250ms","ch3",-0.67793524,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"50-250ms","ch4",-0.5765937,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"50-250ms","ch12",-0.59629565,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"50-250ms","ch13",-0.3363462,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"250-400ms","ch3",-2.0011377,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"250-400ms","ch4",-2.7457385,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"250-400ms","ch12",-2.1954174,"WS003"
"WS003","low_trial_2",-0.5467927,-2.2093496,"250-400ms","ch13",-1.8951046,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"50-250ms","ch3",-0.44487843,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"50-250ms","ch4",1.1863105,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"50-250ms","ch12",0.36208305,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"50-250ms","ch13",0.13290699,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"250-400ms","ch3",0.6180893,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"250-400ms","ch4",1.5844787,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"250-400ms","ch12",1.0360992,"WS003"
"WS003","med_trial_1",0.30910555,1.115427,"250-400ms","ch13",1.2230406,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"50-250ms","ch3",-0.8296389,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"50-250ms","ch4",0.5568611,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"50-250ms","ch12",-0.22760166,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"50-250ms","ch13",-0.49191573,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"250-400ms","ch3",-1.2351866,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"250-400ms","ch4",-1.2185804,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"250-400ms","ch12",-1.3355157,"WS003"
"WS003","med_trial_2",-0.24807379,-1.1944573,"250-400ms","ch13",-0.98854685,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"50-250ms","ch3",-1.3312355,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"50-250ms","ch4",-1.8369995,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"50-250ms","ch12",-1.2241278,"WS003"
"WS003","high_trial_1",-1.5041578,-0.5410121,"50-250ms","ch13",-1.6242685,"WS003"
